A,B,input_time,output_time,delay,delay_si_format
3,7,1.110100000000071e-06,1.130200000000073e-06,2.0100000000002145e-08,20.1 n
3,8,1.130100000000073e-06,1.150200000000074e-06,2.0100000000000875e-08,20.1 n
3,9,1.150100000000074e-06,1.170200000000076e-06,2.0100000000002145e-08,20.1 n
3,10,1.170100000000076e-06,1.190200000000077e-06,2.0100000000000875e-08,20.1 n
3,11,1.190100000000077e-06,1.210200000000079e-06,2.0100000000002145e-08,20.1 n
3,12,1.210100000000079e-06,1.23020000000008e-06,2.0100000000000875e-08,20.1 n
3,13,1.23010000000008e-06,1.250200000000082e-06,2.0100000000002145e-08,20.1 n
3,14,1.250100000000082e-06,1.270200000000083e-06,2.0100000000000875e-08,20.1 n
3,15,1.270100000000083e-06,1.290200000000085e-06,2.0100000000002145e-08,20.1 n
4,0,1.290100000000085e-06,1.310200000000086e-06,2.0100000000000875e-08,20.1 n
4,1,1.310100000000086e-06,1.330200000000088e-06,2.0100000000002145e-08,20.1 n
4,2,1.330100000000088e-06,1.350200000000089e-06,2.0100000000000875e-08,20.1 n
4,3,1.350100000000089e-06,1.370200000000091e-06,2.0100000000002145e-08,20.1 n
4,4,1.370100000000091e-06,1.390200000000092e-06,2.0100000000000875e-08,20.1 n
4,5,1.390100000000092e-06,1.410200000000094e-06,2.0100000000002145e-08,20.1 n
4,6,1.410100000000094e-06,1.430200000000095e-06,2.0100000000000875e-08,20.1 n
4,7,1.430100000000095e-06,1.450200000000097e-06,2.0100000000002145e-08,20.1 n
4,8,1.450100000000097e-06,1.470200000000098e-06,2.0100000000000875e-08,20.1 n
4,9,1.470100000000098e-06,1.4902000000001e-06,2.0100000000002145e-08,20.1 n
4,10,1.4901000000001e-06,1.510200000000101e-06,2.0100000000000875e-08,20.1 n
4,11,1.510100000000101e-06,1.530200000000103e-06,2.0100000000002145e-08,20.1 n
4,12,1.530100000000103e-06,1.550200000000104e-06,2.0100000000000875e-08,20.1 n
4,13,1.550100000000104e-06,1.570200000000106e-06,2.0100000000001934e-08,20.1 n
4,14,1.570100000000106e-06,1.590200000000107e-06,2.0100000000000875e-08,20.1 n
4,15,1.590100000000107e-06,1.610200000000109e-06,2.0100000000001934e-08,20.1 n
5,0,1.610100000000109e-06,1.63020000000011e-06,2.0100000000001087e-08,20.1 n
5,1,1.63010000000011e-06,1.650200000000112e-06,2.0100000000001934e-08,20.1 n
5,2,1.650100000000112e-06,1.670200000000113e-06,2.0100000000001087e-08,20.1 n
5,3,1.670100000000113e-06,1.690200000000115e-06,2.0100000000001934e-08,20.1 n
5,4,1.690100000000115e-06,1.710200000000116e-06,2.0100000000001087e-08,20.1 n
5,5,1.710100000000116e-06,1.730200000000118e-06,2.0100000000001934e-08,20.1 n
5,6,1.730100000000118e-06,1.750200000000119e-06,2.0100000000001087e-08,20.1 n
5,7,1.750100000000119e-06,1.770200000000121e-06,2.0100000000001934e-08,20.1 n
5,8,1.770100000000121e-06,1.790200000000122e-06,2.0100000000001087e-08,20.1 n
5,9,1.790100000000122e-06,1.810200000000124e-06,2.0100000000001934e-08,20.1 n
5,10,1.810100000000124e-06,1.830200000000125e-06,2.0100000000001087e-08,20.1 n
5,11,1.830100000000125e-06,1.850200000000127e-06,2.0100000000001934e-08,20.1 n
5,12,1.850100000000127e-06,1.870200000000128e-06,2.0100000000001087e-08,20.1 n
5,13,1.870100000000128e-06,1.89020000000013e-06,2.0100000000001934e-08,20.1 n
5,14,1.89010000000013e-06,1.910200000000125e-06,2.0099999999994946e-08,20.1 n
5,15,1.910100000000126e-06,1.930200000000084e-06,2.00999999999581e-08,20.1 n
6,0,1.930100000000085e-06,1.950200000000044e-06,2.0099999999958947e-08,20.1 n
6,1,1.950100000000044e-06,1.970200000000003e-06,2.009999999995937e-08,20.1 n
6,2,1.970100000000003e-06,1.990199999999962e-06,2.0099999999958947e-08,20.1 n
6,3,1.990099999999962e-06,2.010199999999921e-06,2.0099999999958947e-08,20.1 n
6,4,2.010099999999921e-06,2.03019999999988e-06,2.009999999995937e-08,20.1 n
6,5,2.03009999999988e-06,2.050199999999839e-06,2.0099999999958947e-08,20.1 n
6,6,2.05009999999984e-06,2.070199999999799e-06,2.0099999999958947e-08,20.1 n
6,7,2.070099999999799e-06,2.090199999999758e-06,2.0099999999958947e-08,20.1 n
6,8,2.090099999999758e-06,2.110199999999717e-06,2.0099999999958947e-08,20.1 n
6,9,2.110099999999717e-06,2.130199999999676e-06,2.0099999999958947e-08,20.1 n
6,10,2.130099999999676e-06,2.150199999999635e-06,2.0099999999958947e-08,20.1 n
6,11,2.150099999999635e-06,2.170199999999594e-06,2.0099999999958947e-08,20.1 n
6,12,2.170099999999594e-06,2.190199999999553e-06,2.0099999999958947e-08,20.1 n
6,13,2.190099999999554e-06,2.210199999999513e-06,2.0099999999958947e-08,20.1 n
6,14,2.210099999999513e-06,2.230199999999472e-06,2.0099999999958947e-08,20.1 n
6,15,2.230099999999472e-06,2.250199999999431e-06,2.0099999999958947e-08,20.1 n
7,0,2.250099999999431e-06,2.27019999999939e-06,2.0099999999958947e-08,20.1 n
7,1,2.27009999999939e-06,2.290199999999349e-06,2.009999999995937e-08,20.1 n
7,2,2.290099999999349e-06,2.310199999999308e-06,2.0099999999958947e-08,20.1 n
7,3,2.310099999999309e-06,2.330199999999267e-06,2.00999999999581e-08,20.1 n
7,4,2.330099999999268e-06,2.350199999999227e-06,2.0099999999958947e-08,20.1 n
7,5,2.350099999999227e-06,2.370199999999186e-06,2.009999999995937e-08,20.1 n
7,6,2.370099999999186e-06,2.390199999999145e-06,2.0099999999958947e-08,20.1 n
7,7,2.390099999999145e-06,2.410199999999104e-06,2.0099999999958947e-08,20.1 n
7,8,2.410099999999104e-06,2.430199999999063e-06,2.0099999999958947e-08,20.1 n
7,9,2.430099999999063e-06,2.450199999999022e-06,2.0099999999958947e-08,20.1 n
7,10,2.450099999999023e-06,2.470199999998982e-06,2.0099999999958947e-08,20.1 n
7,11,2.470099999998982e-06,2.490199999998941e-06,2.0099999999958947e-08,20.1 n
7,12,2.490099999998941e-06,2.5101999999989e-06,2.0099999999958947e-08,20.1 n
7,13,2.5100999999989e-06,2.530199999998859e-06,2.0099999999958947e-08,20.1 n
7,14,2.530099999998859e-06,2.550199999998818e-06,2.0099999999958947e-08,20.1 n
7,15,2.550099999998818e-06,2.570199999998777e-06,2.0099999999958947e-08,20.1 n
8,0,2.570099999998777e-06,2.590199999998736e-06,2.0099999999958947e-08,20.1 n
8,1,2.590099999998737e-06,2.610199999998696e-06,2.0099999999958947e-08,20.1 n
8,2,2.610099999998696e-06,2.630199999998655e-06,2.0099999999958947e-08,20.1 n
8,3,2.630099999998655e-06,2.650199999998614e-06,2.0099999999958947e-08,20.1 n
8,4,2.650099999998614e-06,2.670199999998573e-06,2.0099999999958947e-08,20.1 n
8,5,2.670099999998573e-06,2.690199999998532e-06,2.009999999995937e-08,20.1 n
8,6,2.690099999998532e-06,2.710199999998491e-06,2.0099999999958947e-08,20.1 n
8,7,2.710099999998492e-06,2.73019999999845e-06,2.00999999999581e-08,20.1 n
8,8,2.730099999998451e-06,2.75019999999841e-06,2.0099999999958947e-08,20.1 n
8,9,2.75009999999841e-06,2.770199999998369e-06,2.0099999999958947e-08,20.1 n
8,10,2.770099999998369e-06,2.790199999998328e-06,2.0099999999958947e-08,20.1 n
8,11,2.790099999998328e-06,2.810199999998287e-06,2.0099999999958947e-08,20.1 n
8,12,2.810099999998287e-06,2.830199999998246e-06,2.0099999999958947e-08,20.1 n
8,13,2.830099999998246e-06,2.850199999998205e-06,2.0099999999958947e-08,20.1 n
8,14,2.850099999998206e-06,2.870199999998165e-06,2.0099999999958947e-08,20.1 n
8,15,2.870099999998165e-06,2.890199999998124e-06,2.0099999999958947e-08,20.1 n
9,0,2.890099999998124e-06,2.910199999998083e-06,2.0099999999958947e-08,20.1 n
9,1,2.910099999998083e-06,2.930199999998042e-06,2.0099999999958947e-08,20.1 n
9,2,2.930099999998042e-06,2.950199999998001e-06,2.0099999999958947e-08,20.1 n
9,3,2.950099999998001e-06,2.97019999999796e-06,2.0099999999958947e-08,20.1 n
9,4,2.970099999997961e-06,2.990199999997919e-06,2.00999999999581e-08,20.1 n
9,5,2.99009999999792e-06,3.010199999997879e-06,2.0099999999958947e-08,20.1 n
9,6,3.010099999997879e-06,3.030199999997838e-06,2.009999999995937e-08,20.1 n
9,7,3.030099999997838e-06,3.050199999997797e-06,2.0099999999958947e-08,20.1 n
9,8,3.050099999997797e-06,3.070199999997756e-06,2.0099999999958947e-08,20.1 n
9,9,3.070099999997756e-06,3.090199999997715e-06,2.009999999995937e-08,20.1 n
9,10,3.090099999997715e-06,3.110199999997674e-06,2.0099999999958947e-08,20.1 n
9,11,3.110099999997675e-06,3.130199999997634e-06,2.0099999999958947e-08,20.1 n
9,12,3.130099999997634e-06,3.150199999997593e-06,2.0099999999958947e-08,20.1 n
9,13,3.150099999997593e-06,3.170199999997552e-06,2.0099999999958947e-08,20.1 n
9,14,3.170099999997552e-06,3.190199999997511e-06,2.0099999999958947e-08,20.1 n
9,15,3.190099999997511e-06,3.21019999999747e-06,2.0099999999958947e-08,20.1 n
10,0,3.21009999999747e-06,3.230199999997429e-06,2.0099999999958947e-08,20.1 n
10,1,3.230099999997429e-06,3.250199999997388e-06,2.0099999999958947e-08,20.1 n
10,2,3.250099999997389e-06,3.270199999997348e-06,2.0099999999958947e-08,20.1 n
10,3,3.270099999997348e-06,3.290199999997307e-06,2.0099999999958947e-08,20.1 n
10,4,3.290099999997307e-06,3.310199999997266e-06,2.0099999999958947e-08,20.1 n
10,5,3.310099999997266e-06,3.330199999997225e-06,2.0099999999958947e-08,20.1 n
10,6,3.330099999997225e-06,3.350199999997184e-06,2.009999999995937e-08,20.1 n
10,7,3.350099999997184e-06,3.370199999997143e-06,2.0099999999958947e-08,20.1 n
10,8,3.370099999997144e-06,3.390199999997102e-06,2.00999999999581e-08,20.1 n
10,9,3.390099999997103e-06,3.410199999997062e-06,2.0099999999958947e-08,20.1 n
10,10,3.410099999997062e-06,3.430199999997021e-06,2.009999999995937e-08,20.1 n
10,11,3.430099999997021e-06,3.45019999999698e-06,2.0099999999958947e-08,20.1 n
10,12,3.45009999999698e-06,3.470199999996939e-06,2.0099999999958947e-08,20.1 n
10,13,3.470099999996939e-06,3.490199999996898e-06,2.0099999999958947e-08,20.1 n
10,14,3.490099999996898e-06,3.510199999996857e-06,2.0099999999958947e-08,20.1 n
10,15,3.510099999996858e-06,3.530199999996817e-06,2.0099999999958947e-08,20.1 n
11,0,3.530099999996817e-06,3.550199999996776e-06,2.0099999999958947e-08,20.1 n
11,1,3.550099999996776e-06,3.570199999996735e-06,2.0099999999958947e-08,20.1 n
11,2,3.570099999996735e-06,3.590199999996694e-06,2.0099999999958947e-08,20.1 n
11,3,3.590099999996694e-06,3.610199999996653e-06,2.0099999999958947e-08,20.1 n
11,4,3.610099999996653e-06,3.630199999996612e-06,2.0099999999958947e-08,20.1 n
11,5,3.630099999996612e-06,3.650199999996571e-06,2.0099999999958947e-08,20.1 n
11,6,3.650099999996572e-06,3.670199999996531e-06,2.0099999999958947e-08,20.1 n
11,7,3.670099999996531e-06,3.69019999999649e-06,2.0099999999958947e-08,20.1 n
11,8,3.69009999999649e-06,3.710199999996449e-06,2.0099999999958947e-08,20.1 n
11,9,3.710099999996449e-06,3.730199999996408e-06,2.0099999999958947e-08,20.1 n
11,10,3.730099999996408e-06,3.750199999996367e-06,2.009999999995937e-08,20.1 n
11,11,3.750099999996367e-06,3.770199999996326e-06,2.0099999999958947e-08,20.1 n
11,12,3.770099999996327e-06,3.790199999996285e-06,2.00999999999581e-08,20.1 n
11,13,3.790099999996286e-06,3.810199999996245e-06,2.0099999999958947e-08,20.1 n
11,14,3.810099999996245e-06,3.83019999999627e-06,2.0100000000025015e-08,20.1 n
11,15,3.83009999999627e-06,3.850199999996314e-06,2.0100000000044073e-08,20.1 n
12,0,3.850099999996313e-06,3.870199999996358e-06,2.0100000000045768e-08,20.1 n
12,1,3.870099999996357e-06,3.890199999996401e-06,2.0100000000044073e-08,20.1 n
12,2,3.890099999996401e-06,3.910199999996445e-06,2.0100000000044073e-08,20.1 n
